tref,subj,dobj,syn,verb,iobj,obl1,obl2,label
gun_rights1,gun_rights1,0,[advmod  nsubj],advance,0,0,0,0
Gun_control1,0,0,[amod  nmod],advance,0,Gun_control1,advance,0
Gun_control1,0,0,[amod  nmod],advance,0,0,0,0
gun1,0,0,[det  amod  amod],running,0,gun1,running,0
gun1,0,0,[det  amod  amod],running,0,Mexican,running,0
gun_bans1,0,gun_bans1,[dobj],pushing,0,0,0,0
democracy1,0,0,[det  nmod],advance,0,of,democracy1,0
firearms1,0,0,[det  amod  amod],project,0,firearms1,project,0
democracy1,0,0,[det  nmod],advance,0,0,0,0
diplomatic1,0,0,[case  amod  cc  conj],approach,0,diplomatic1,approach,0
gun1,0,0,[det  amod  amod],running,0,0,0,0
government1,0,government1,[advmod  dobj],advancing,0,0,0,0
poverty1,poverty1,0,[mark  nsubj  advmod  nmod],slip,0,0,0,0
Gun_control1,0,0,[amod  nmod],advance,0,in,Democrats,0
democracy1,0,democracy1,[dobj  parataxis  parataxis],advancing,0,0,0,0
gun_registration1,gun_registration1,0,[mark  nsubj  advcl],lead,0,0,0,0
firearm1,0,firearm1,[mark  dobj  nmod],ship,0,across,line,1
democracy1,0,0,[case  det  nmod],skid,0,of,democracy1,1
democracy1,0,0,[case  det  nmod],skid,0,0,0,1
government1,0,0,[det  amod  compound  nmod],vehicle,0,0,0,1
government1,0,0,[det  amod  compound  nmod],vehicle,0,of,government1,1
wealth1,0,0,[case  det  nmod],hub,0,of,wealth1,1
firearm1,0,firearm1,[mark  dobj  nmod],ship,0,across,line,1
diplomatic1,0,0,[case  amod  cc  conj  cc  conj],manoeuvring,0,diplomatic1,manoeuvring,1
poverty1,0,0,[cop  nmod:poss  nummod],engine,0,'s,America,1
wealth1,0,0,[case  det  nmod],hub,0,0,0,1
diplomatic1,0,0,[case  amod  cc  conj  cc  conj],manoeuvring,0,0,0,1
election1,0,election1,[mark  dobj],rigging,0,0,0,1
poverty1,0,0,[cop  nmod:poss  nummod],engine,0,0,0,1
Democracy1,we,Democracy1,[aux  nsubj  dobj],Accelerate,0,0,0,1
poverty1,0,0,[amod],immigrant,0,0,0,1
firearm1,0,firearm1,[mark  dobj  nmod],ship,0,0,0,1
guns1,guns1,0,[nsubj  nmod  xcomp],came,0,from,number,1
guns1,guns1,0,[nsubj  nmod  xcomp],came,0,0,0,1
poverty1,0,0,[det  amod],propagation,0,poverty1,propagation,2
low-tax1,We,0,[nsubj  cop  advmod  det  amod  nmod],beacon,0,0,0,2
gun_control1,0,0,[nmod:poss  nmod],Lamp,0,'s,Aladin,2
guns1,0,guns1,[mark  dobj  nmod  advcl],reflect,0,a,tool,2
democracy1,0,0,[det  nmod  nmod  acl],label,0,0,0,2
guns1,0,guns1,[mark  dobj  nmod  advcl],reflect,0,0,0,2
democracy1,0,0,[det  amod  nmod],sun,0,of,democracy1,2
democracy1,0,0,[det  amod  nmod],sun,0,0,0,2
democracy1,0,0,[det  nmod  nmod  acl],label,0,of,democracy1,2
income1,0,0,[case  amod  cc  conj],polarization,0,0,0,2
wealth1,0,0,[det  nmod],transmission,0,of,wealth1,2
gun_control1,0,0,[nmod:poss  nmod],Lamp,0,0,0,2
income1,0,0,[case  amod  cc  conj],polarization,0,income1,polarization,2
democracy1,0,0,[case  det  amod  nmod],beacon,0,0,0,2
democracy1,0,0,[case  det  amod  nmod],beacon,0,for,rest,2
democracy1,0,0,[case  det  amod  nmod],beacon,0,democracy1,beacon,2
low-tax1,We,0,[nsubj  cop  advmod  det  amod  nmod],beacon,0,of,world,2
democracy1,0,0,[case  det  amod],veneer,0,democracy1,veneer,3
democracy1,0,0,[case  det  amod],veneer,0,0,0,3
wealth1,0,0,[case  det  amod  nmod],partition,0,0,0,3
wealth1,0,0,[case  det  amod  nmod],partition,0,of,wealth1,3
wealth1,0,0,[det  cc  conj  nmod],glamour,0,0,0,3
taxation1,0,0,[nmod:poss  nmod],curtain,0,of,taxation1,3
Government1,you,0,[nsubj  dep],fall,0,0,0,3
tax1,0,0,[advcl  cop  det  amod],shelved,0,tax1,shelved,3
tax1,0,0,[advcl  cop  det  amod],shelved,0,0,0,3
wealth1,0,0,[det  cc  conj  nmod],glamour,0,of,wealth1,3
democratic1,0,0,[case  nmod:poss  amod  amod],carpet,0,beautiful,carpet,3
democracy1,0,0,[case  det  nmod],pinnacle,0,0,0,4
government1,government1,0,[cc  nsubj  cop  neg  det  amod  cc  conj],friend,0,0,0,5
government1,government1,0,[cc  nsubj  cop  neg  det  amod  cc  conj],friend,0,American,friend,5
guns1,You,guns1,[nsubj  aux  advmod  dobj  nmod  advcl],divorce,0,from,Constitution,5
Poverty1,Poverty1,0,[nsubj  cop  det  nmod],mother,0,of,crime,5
gun1,0,0,[case  det  amod],generation,0,0,0,5
gun1,0,0,[case  det  amod],generation,0,gun1,generation,5
income1,0,0,[amod  amod  compound],policy,0,0,0,5
government1,government1,0,[mark  nsubj  cc  conj  dep],can,0,0,0,5
income1,0,0,[amod  amod  compound],policy,0,income1,policy,5
guns1,You,guns1,[nsubj  aux  advmod  dobj  nmod  advcl],divorce,0,0,0,5
the_poor1,0,0,[case  nmod:poss  nmod],brother,0,0,0,5
the_poor1,0,0,[case  nmod:poss  nmod],brother,0,of,the_poor1,5
Poverty1,Poverty1,0,[nsubj  cop  det  nmod],mother,0,0,0,5
debt1,debt1,0,[advmod  nsubjpass  auxpass  advmod  nmod],measured,0,0,0,6
gun_control1,0,0,[case  det  amod  amod  nmod],calculus,0,political,calculus,6
democracy1,democracy1,problem,[mark  nsubj  aux  dobj],solve,0,0,0,6
governing1,set,0,[nsubj  amod  amod  compound  conj  conj  cc  conj],analysis,0,0,0,6
gun_control1,0,0,[case  det  amod  amod  nmod],calculus,0,changing,calculus,6
poverty1,model,poverty1,[nsubj  dobj  advmod  nmod],forecast,0,0,0,6
bureaucracy1,0,0,[det  amod  nmod  dep  dep],experimented,0,0,0,6
re-enactment1,McClintock,re-enactment1,[nsubj  aux  dobj  nmod  dep],explored,0,in,relation,6
governing1,set,0,[nsubj  amod  amod  compound  conj  conj  cc  conj],analysis,0,routine,analysis,6
gun_control1,0,0,[case  det  amod  amod  nmod],calculus,0,of,gun_control1,6
poverty1,0,0,[case  amod  conj  cc  conj],illness,0,unnecessary,illness,6
taxes1,municipality,taxes1,[mark  advmod  nsubj  dobj],formulates,0,0,0,6
poverty1,0,0,[case  amod  conj  cc  conj],illness,0,0,0,6
Democracy1,Democracy1,0,[nsubj  cop  neg  compound  cc  conj],physic,0,0,0,6
inequality1,0,0,[nummod  nmod],way,0,0,0,6
voter1,0,0,[amod  acl:relcl],calculus,0,voter1,calculus,6
money1,money1,0,[nsubj  ccomp],evolves,0,0,0,6
government1,SIC,government1,[nsubj  dobj  nmod],-RSB-,0,a,gaurdian,6
voter1,0,0,[amod  acl:relcl],calculus,0,0,0,6
government1,SIC,government1,[nsubj  dobj  nmod],-RSB-,0,0,0,6
governmental1,0,0,[amod  nmod],analysis,0,in,Florida,6
jury1,Larson,0,[nsubjpass  auxpass  nmod],selected,0,0,0,6
bureaucracy1,0,0,[det  amod  nmod  dep  dep],experimented,0,bureaucracy1,experimented,6
inequality1,0,0,[nummod  nmod],way,0,to,inequality1,6
gun_control1,0,0,[case  det  amod  amod  nmod],calculus,0,0,0,6
governmental1,0,0,[amod  nmod],analysis,0,governmental1,analysis,6
poverty1,model,poverty1,[nsubj  dobj  advmod  nmod],forecast,0,through,mid-1970s,6
poverty1,0,poverty1,[mark  dobj  cc  conj],measuring,0,0,0,6
bureaucracy1,0,0,[det  amod  nmod  dep  dep],experimented,0,with,model,6
homelessness1,0,0,[amod],Recordings,0,homelessness1.Appleseed,Recordings,7
gun_control1,0,0,[case  det  amod],issue,0,0,0,7
management1,0,0,[case  det  amod  nmod],rank,0,top,rank,7
inequalities1,0,inequalities1,[mark  dobj  nmod],fighting,0,0,0,7
estate_tax1,estate,estate_tax1,[mark  nmod  nsubj  aux  dobj],face,0,0,0,7
guns1,guns1,0,[mark  nsubj  cop  det  dep],enemy,0,0,0,7
government1,0,0,[case  nmod:poss],side,0,'s,government1,7
bureaucracy1,I,bureaucracy1,[dep  nsubj  dobj],defy,0,0,0,7
tax1,0,0,[amod],resistance,0,tax1,resistance,7
Poverty1,Yong,0,[aux  neg  auxpass  nmod  nsubjpass],Defeated,0,by,Poverty1,7
democracy1,0,0,[case  amod  cc  conj],politics,0,0,0,7
poverty1,0,poverty1,[mark  dobj  nmod],overcoming,0,in,community,7
poverty1,0,0,[case  det  amod  nmod],surrender,0,0,0,7
post-election1,0,0,[case  det  amod  amod],unrest,0,recent,unrest,7
gun_control1,0,0,[case  det  amod],issue,0,gun_control1,issue,7
the_poor1,0,0,[case  nmod],defense,0,of,the_poor1,7
gun_control1,0,gun_control1,[neg  dobj],fight,0,0,0,7
poverty1,government,poverty1,[mark  nsubj  aux  neg  dobj],fight,0,0,0,7
polls1,0,0,[det  nmod],defeat,0,0,0,7
polls1,0,0,[det  nmod],defeat,0,at,polls1,7
Democracy1,0,0,[compound  compound  compound  dep],Faces,0,0,0,7
democracy1,0,0,[case  amod  acl:relcl],former,0,democracy1,former,7
gun_control1,It,0,[nsubj  cop  det  amod  amod  nmod  acl:relcl],victory,0,0,0,7
democracy1,0,0,[case  amod  acl:relcl],former,0,0,0,7
gun_control1,It,0,[nsubj  cop  det  amod  amod  nmod  acl:relcl],victory,0,huge,victory,7
gun_owners1,I,gun_owners1,[advmod  nsubj  aux  neg  dobj],attack,0,0,0,7
government1,0,0,[case  nmod:poss],side,0,0,0,7
poverty1,0,poverty1,[mark  dobj],combat,0,0,0,7
post-election1,0,0,[case  det  amod  amod],unrest,0,0,0,7
gun_control1,Conservatives,gun_control1,[nsubj  dobj],say,0,0,0,7
gun_control1,0,gun_control1,[mark  dobj],fighting,0,0,0,7
poverty1,0,0,[det  nmod],problem,0,of,poverty1,7
gun_violence1,0,gun_violence1,[mark  dobj],solving,0,0,0,7
guns1,guns1,0,[nsubj  cop  neg  det  amod],problem,0,0,0,7
guns1,0,you,[advmod  aux  neg  dobj  nmod],fought,0,0,0,7
gun_control1,It,0,[nsubj  cop  det  amod  amod  nmod  acl:relcl],victory,0,psychological,victory,7
gun_control1,It,0,[nsubj  cop  det  amod  amod  nmod  acl:relcl],victory,0,for,gun_control1,7
poverty1,0,0,[amod  nmod],gain,0,against,poverty1,7
post-election1,0,0,[case  det  amod  amod],unrest,0,post-election1,unrest,7
wealth1,0,0,[case  det  nmod],defeat,0,0,0,7
wealth1,wealth1,0,[mark  nsubj  cop  det  nmod],enemy,0,of,faith,7
democracy1,0,0,[case  nmod],enemy,0,0,0,7
democracy1,0,0,[case  nmod],enemy,0,of,democracy1,7
Poverty1,Yong,0,[aux  neg  auxpass  nmod  nsubjpass],Defeated,0,0,0,7
democracy1,0,0,[case  amod  cc  conj],politics,0,American,politics,7
government1,0,0,[case  nmod],proxy,0,0,0,7
government1,0,0,[case  nmod],proxy,0,for,government1,7
hunger1,0,hunger1,[mark  dobj  nmod],fighting,0,for,Bank,7
poverty1,0,0,[nmod],mired,0,in,poverty1,7
poverty1,0,0,[det  nmod],problem,0,0,0,7
government1,0,0,[case  det  nmod],overthrow,0,0,0,7
poverty1,0,0,[nmod],mired,0,0,0,7
poverty1,0,0,[mark  nmod],fight,0,against,poverty1,7
management1,0,0,[case  det  amod  nmod],rank,0,0,0,7
poverty1,0,0,[amod  nmod],gain,0,dramatic,gain,7
wealth1,0,0,[case  det  nmod],defeat,0,of,wealth1,7
bureaucratic1,0,0,[amod],conflict,0,bureaucratic1,conflict,7
bureaucratic1,0,0,[amod],conflict,0,0,0,7
the_poor1,0,0,[case  nmod],defense,0,0,0,7
poverty1,who,poverty1,[nsubj  dobj  advcl],overcame,0,0,0,7
guns1,you,guns1,[nsubj  aux  neg  dobj],attacking,0,0,0,7
regulation1,0,regulation1,[mark  dobj  nmod],harmonizing,0,0,0,7
regulation1,0,regulation1,[mark  dobj  nmod],harmonizing,0,because,regulation,7
elections1,0,elections1,[dobj],contending,0,0,0,7
poverty1,0,0,[case  det  amod  nmod],surrender,0,unconditional,surrender,7
democracy1,0,0,[case  amod],right,0,0,0,7
tax1,0,0,[amod],resistance,0,0,0,7
poverty1,0,0,[mark  nmod],fight,0,0,0,7
guns1,guns1,0,[nsubj  cop  neg  det  amod],problem,0,real,problem,7
gun_control1,control,gun_control1,[nsubj  aux  dobj],fight,0,0,0,7
wealth1,0,0,[case  dep  conj  cc  conj],talent,0,0,0,7
estate_tax1,estate,estate_tax1,[mark  nmod  nsubj  aux  dobj],face,0,in,2004,7
democracy1,0,0,[compound],Congress,0,0,0,7
gun_control1,0,gun_control1,[mark  dobj  cc  conj],fight,0,0,0,7
management1,0,0,[case  det  amod  nmod],rank,0,of,management1,7
democracy1,0,0,[case  amod],right,0,democracy1,right,7
re-election1,0,0,[amod  amod  compound  nmod],</a>,0,tough,</a>,7
homelessness1,we,homelessness1,[mark  nsubj  aux  dobj  advcl],end,0,0,0,7
re-election1,0,0,[amod  amod  compound  nmod],</a>,0,0,0,7
re-election1,0,0,[amod  amod  compound  nmod],</a>,0,against,Crist,7
taxation1,0,0,[det  nmod  nmod],victory,0,0,0,7
taxation1,0,0,[det  nmod  nmod],victory,0,of,taxation1,7
taxation1,0,0,[det  nmod  nmod],victory,0,with,cliff,7
poverty1,0,poverty1,[mark  dobj  nmod],overcoming,0,0,0,7
democracy1,0,0,[nmod:poss  nmod],style,0,0,0,7
Elections1,0,Elections1,[dobj],capture,0,0,0,7
hunger1,0,hunger1,[mark  dobj  nmod],fighting,0,0,0,7
people1,0,0,[det  nmod],power,0,0,0,7
democracy1,0,0,[nmod:poss  nmod],style,0,of,democracy1,7
freedom1,0,0,[case  det  nmod  acl:relcl],defence,0,0,0,7
Gun_control1,Gun_control1,0,[nsubj  aux  neg],negotiate,0,0,0,7
freedom1,0,0,[case  det  nmod  acl:relcl],defence,0,of,freedom1,7
diplomatic1,0,0,[det  amod  acl],gravity,0,0,0,8
