lex,sent,Labels
right,0,0
0,0,85
advance,0,85
0,0,85
0,0,85
0,0,85
0,1,85
0,1,85
advance,1,85
0,1,85
control,1,0
advance,1,85
0,2,85
0,2,85
advance,2,85
0,2,85
0,2,85
0,2,85
0,3,85
0,3,85
running,3,85
0,3,85
gun,3,0
running,3,85
0,4,85
0,4,85
running,4,85
0,4,85
Mexican,4,85
running,4,85
0,5,85
ban,5,0
pushing,5,85
0,5,85
0,5,85
0,5,85
0,6,85
0,6,85
advance,6,85
0,6,85
of,6,85
democracy,6,0
0,7,85
0,7,85
project,7,85
0,7,85
firearm,7,0
project,7,85
0,8,85
0,8,85
advance,8,85
0,8,85
0,8,85
0,8,85
0,9,85
0,9,85
approach,9,85
0,9,85
diplomatic,9,0
approach,9,85
0,10,85
0,10,85
running,10,85
0,10,85
0,10,85
0,10,85
0,11,85
government,11,0
advancing,11,85
0,11,85
0,11,85
0,11,85
poverty,12,0
0,12,85
slip,12,85
0,12,85
0,12,85
0,12,85
0,13,85
0,13,85
advance,13,85
0,13,85
in,13,85
Democrats,13,85
0,14,85
democracy,14,0
advancing,14,85
0,14,85
0,14,85
0,14,85
registration,15,0
0,15,85
lead,15,85
0,15,85
0,15,85
0,15,85
0,16,85
firearm,16,1
ship,16,85
0,16,85
across,16,85
line,16,85
0,17,85
0,17,85
skid,17,85
0,17,85
of,17,85
democracy,17,1
0,18,85
0,18,85
skid,18,85
0,18,85
0,18,85
0,18,85
0,19,85
0,19,85
vehicle,19,85
0,19,85
0,19,85
0,19,85
0,20,85
0,20,85
vehicle,20,85
0,20,85
of,20,85
government,20,1
0,21,85
0,21,85
hub,21,85
0,21,85
of,21,85
wealth,21,1
0,22,85
firearm,22,1
ship,22,85
0,22,85
across,22,85
line,22,85
0,23,85
0,23,85
manoeuvring,23,85
0,23,85
diplomatic,23,1
manoeuvring,23,85
0,24,85
0,24,85
engine,24,85
0,24,85
's,24,85
America,24,85
0,25,85
0,25,85
hub,25,85
0,25,85
0,25,85
0,25,85
0,26,85
0,26,85
manoeuvring,26,85
0,26,85
0,26,85
0,26,85
0,27,85
election,27,1
rigging,27,85
0,27,85
0,27,85
0,27,85
0,28,85
0,28,85
engine,28,85
0,28,85
0,28,85
0,28,85
we,29,85
Democracy,29,1
Accelerate,29,85
0,29,85
0,29,85
0,29,85
0,30,85
0,30,85
immigrant,30,85
0,30,85
0,30,85
0,30,85
0,31,85
firearm,31,1
ship,31,85
0,31,85
0,31,85
0,31,85
gun,32,1
0,32,85
came,32,85
0,32,85
from,32,85
number,32,85
gun,33,1
0,33,85
came,33,85
0,33,85
0,33,85
0,33,85
0,34,85
0,34,85
propagation,34,85
0,34,85
poverty,34,2
propagation,34,85
We,35,85
0,35,85
beacon,35,85
0,35,85
0,35,85
0,35,85
0,36,85
0,36,85
Lamp,36,85
0,36,85
's,36,85
Aladin,36,85
0,37,85
